Adresse;Mandant;Art;Rechnungsanschrift;Vertreter;Vertreter2;Mitarbeiter;Rabattmatrix;Nummer;Kartennummer;Suchbegriff;Kennung;Anrede;Firma1;Firma2;Name;Vorname;Titel;Strasse;Land;LandName;Plz;Ort;Plz-Postfach;Postfach;Telefon;Telefon2;Telefax;Handy;E-Mail;Internet;Erster_Kontakt;Letztes_Angebot;Letzte_Rechnung;Letzter_Kontakt;Geburtstag;Wiedervorlage;Warnung;Briefanrede;Steuer;Zahlungskondition;Waehrung;Rabatt;VK;Sprache;Umsatz;Kreditlimit;Kredit;Bonus;Guthaben;FibuKontonummer;Fibusammelkonto;Bank;Blz;Kontonummer;Kontoinhaber;EGID;UnsereKundennr;Lieferstop;Serienbrief;Serienmail;Online;Status;Multimedia;Selekt;Mody;ZusatzFeld01;ZusatzFeld02;ZusatzFeld03;ZusatzFeld04;ZusatzFeld05;ZusatzFeld06;ZusatzFeld07;ZusatzFeld08;ZusatzFeld09;ZusatzFeld10;ZusatzFeld11;ZusatzFeld12;ZusatzFeld13;ZusatzFeld14;ZusatzFeld15;ZusatzFeld16;ZusatzFeld17;ZusatzFeld18;ZusatzFeld19;ZusatzFeld20;ZusatzFeld21;ZusatzFeld22;ZusatzFeld23;ZusatzFeld24;Bild1;Bild2;Video;Sound;Lieferart;Steuernummer;Passwort;Mindermengen;Onlinenot;IBAN;BIC;Filiale;Kostenstelle;Umsatz_VorVorjahr;Umsatz_Vorjahr;Umsatz_Jahr;Umsatz_Soll;ShopKennung;EMailRechnung;EMailMahnung;ERechnung;KeineTeillieferung;Laenge;Breite;Lieferrhythmus;Mindestauftragswert;Reklamationspauschale;Reklamationsfrist;Ebay_EIASToken;Ebay_FeedbackPer;Ebay_FeedbackScore;Ebay_FeedbackRatingStar;Ebay_IDVerified;Mandatsnummer;Mandatsdatum;L_Firma;L_Name;L_Vorname;L_Strasse;L_Land;L_Plz;L_Ort;Porto;Facebook;GooglePlus;Twitter;XING;Skype;Linkedin;Update;AFS_dummy;Bemerkung;Notiz;Zusatz1;Zusatz2;Zusatz3;Lieferanschrift;Werbetext1;ShopUrl;KATEGORIE;AFS_CHANGE_LOG;Mandatsdatei;Zaehler;Adresse_1;Anrede_1;Vorname_1;Name_1;Titel_1;Telefon_1;Handy_1;Telefax_1;EMail;Abteilung;Funktion;Geburtstag_1;Briefanrede_1;Kostenstelle_1;Serienbrief_1;Export;Entscheider;Katalog;SNMail;Kennung_1;FREIFELD01;FREIFELD02;FREIFELD03;FREIFELD04;FREIFELD05;FREIFELD06;FREIFELD07;FREIFELD08;FREIFELD09;FREIFELD10;FREIFELD11;FREIFELD12;FREIFELD13;FREIFELD14;FREIFELD15;FREIFELD16;FREIFELD17;FREIFELD18;FREIFELD19;FREIFELD20;FREIFELD21;FREIFELD22;FREIFELD23;FREIFELD24;KATEGORIE_1;PRIVAT_Strasse;PRIVAT_Plz;PRIVAT_Ort;PRIVAT_Tel;PRIVAT_Fax;PRIVAT_Handy;PRIVAT_EMAIL;PRIVAT_FGeburtstag;Gebaeude;Zimmer;FI_Import;Facebook_1;GooglePlus_1;Twitter_1;XING_1;Skype_1;Linkedin_1;Update_1;AFS_dummy_1;Bemerkung_1;Zusatz1_1;Zusatz2_1;Zusatz3_1;
16;1;0;;;;;;16;;Metzker - Kassel;;Frau;;;Metzker;Julia;;Birkenweg 125;Deutschland;;34859;Kassel;;;;;;;juliametzker12345@post.de;;10/08/2007;;13/08/2007;14/08/2007;;;;Sehr geehrte Frau Metzker;1;1;2;;1;0;1632,49;;1632,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;per Post;;;;;;;;;;;1555,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17/08/2007 15:56:32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;0;;;;;;17;;Meier - Erfurt;;Herr;;;Meier;Stefan;;Torweg 15;Deutschland;;39658;Erfurt;;;;;;;stefanmeier@test.de;;10/08/2007;;13/08/2007;14/08/2007;;;;;1;3;2;;1;0;1453,47;;154,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;per Post;;;;;;;;;;;1298,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/08/2007 10:20:51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1;0;;;;;;18;;EDV-Verlag - Bremen;;Verlag;EDV-Verlag;;Jürgen;Hans;;Buchenweg 198;Deutschland;;59648;Bremen;;;;;;;;;10/08/2007;;13/08/2007;13/08/2007;;;;Sehr geehrte Damen und Herren;3;4;2;;5;0;1236;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;per Paketdienst;;;;;;;;;;;1236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15/08/2007 16:57:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1;0;;;;;;19;;Werner Schule - Bad-Hersfeld;;Schule;Werner Schule;;Tester;Jörg;;An der Untergeis;Deutschland;;47854;Bad-Hersfeld;;;;;;;;;10/08/2007;;13/08/2007;14/08/2007;;;;Sehr geehrte Damen und Herren;1;5;2;;1;0;525,98;;61,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;per Post;;;;;;;;;;;525,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09/11/2015 09:56:31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1;0;;;;;;20;;TSV Berlin - Berlin;;Verein;TSV Berlin;;Muster;Werner;Dr. Ing.;Fleischgasse 255;Deutschland;;48956;Berlin;;;;;;;;;10/08/2007;;13/08/2007;13/08/2007;;;;Sehr geehrte Damen und Herren;1;1;2;;6;0;1548,5;;1548,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;per Post;;;;;;;;;;;1548,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13/08/2007 16:48:31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1;0;;;;;;21;;Bremer - Berlin;;Frau;;;Bremer;Elke;;An der Obergeis 85;Deutschland;;36336;Berlin;;;;;;;Elkebremer@info.de;www.elke-bremer-info.de;10/08/2007;;13/08/2007;14/08/2007;;;;Sehr geehrte Frau Bremer;2;3;2;;1;0;968,71;;291,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;frei Haus;;;;;;;;;;;677,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/08/2007 10:19:28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;1;0;;;;;;22;;Rohde - Borken;;Frau;;;Rohde;Tim;Dipl. Ing.;Testerweg;Deutschland;;234322;Borken;;;;;;;;;10/08/2007;;13/08/2007;14/08/2007;;;;Sehr geehrte Frau Rohde;1;1;2;;1;0;2873,16;;2873,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;595;2278,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/08/2007 10:24:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;1;0;;;;;;BARVERKAUF;;BARVERKAUF;;;;;;;;;;;;;;;;;;;;;;;26/02/2008;27/02/2008;;;;;1;1;2;;1;;112,5;;-12,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27/02/2008 00:25:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;1;0;;;;;;23;;Büromarkt Deutschland - Berlin;;Firma;Büromarkt Deutschland;;Schmidt;Tom;;Kurzer Weg 21;Deutschland;;34125;Berlin;;;02348/64865-1;02348/64865-3;02348/64865-2;;bueromarktschmidt@fragen.de;www.info-bueromarktschmidt.de;14/08/2007;;;14/08/2007;;;;Sehr geehrter Herr Schmidt;1;1;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/08/2007 14:26:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;1;0;30;;;;;24;;Büromarkt 2 - Kassel;;Firma;Büromarkt 2;;Schmidt;Tim;;Hauptstr. 5;Deutschland;;15965;Kassel;;;02348/64865-1;02348/64865-3;02348/64865-2;;bueromarktschmidt@fragen.de;www.info-bueromarktschmidt.de;14/08/2007;;;14/08/2007;;;;Sehr geehrter Herr Schmidt;1;1;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14/08/2007 14:26:37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
